year,sig05,sig095,sig105,sig15,sig2,sig25,sig3,sig35,sig4,sig45,sig5
2011,12.6367914479619,12.655760862523,9.8354258779104,8.04403368184049,8.82843970622646,9.60058732214581,10.3469765020583,11.0558960856381,11.718074885955,12.3270152322726,12.8790119822623
2012,10.4942791028754,10.2348365298117,7.86761410266594,6.01011869354776,6.19253825218503,6.37560749109576,6.55904445272542,6.74256430544721,6.92588134754861,7.1087107546447,7.29077055416455
2013,10.5405286473632,10.2369959556898,7.85651269368519,5.9303792354229,6.03615028038043,6.14227485713061,6.24869774887137,6.35536224775158,6.46221032843973,6.56918285877647,6.67621984843534
2014,10.5835014330841,10.2390724437524,7.84757648377287,5.85778431011643,5.89191401835263,5.92610777380933,5.96036479782985,5.99468428142944,6.02906527556856,6.06350658310882,6.09800666907778
2015,10.6231626318786,10.2407083772704,7.83888794154551,5.78924172522839,5.75621868006683,5.72323537944466,5.69029546279986,5.65740297860847,5.62456221200303,5.59177749964729,5.55905305398102
2016,10.6596498702144,10.2419061169768,7.8304397626297,5.72466876557854,5.62892250894874,5.53356430280033,5.43863580571126,5.34417857092354,5.25023378331782,5.15684198165561,5.06404279003413
2017,10.6931033768211,10.2426689398996,7.82222266599274,5.66396297998325,5.50982149424535,5.35684255332853,5.20518894040793,5.0550183964497,4.90648280396255,4.75972740855715,4.61489010738335
2018,10.7236647043322,10.2430009205482,7.81422555485933,5.60700471291392,5.39866003302709,5.19269034125379,4.98948513536576,4.78941291470942,4.59281856828714,4.40002112598847,4.21131191847563
2019,10.7514755110857,10.2429067959996,7.80643569577459,5.55365972164473,5.29514116387048,5.04062897692269,4.79084779986549,4.54646621750977,4.30809042521622,4.07625936266336,3.85144137544764
2020,10.7766764222334,10.2423918197037,7.79883890996154,5.50378180791954,5.19893613978858,4.90010702700443,4.60845256026606,4.32501285174984,4.05069791739654,3.78627969640153,3.53238818225694
2021,10.7994059859568,10.2414616088613,7.79141977106778,5.45721539942573,5.1096931782827,4.77052327296056,4.4413779930943,4.12371679077539,3.81876692946719,3.52751342718187,3.25069783385444
2022,10.8197997368135,10.2401219900229,7.78416180364956,5.41379802482405,5.02704528932513,4.65124631063253,4.28864762150109,3.9411514182692,3.6102889005331,3.29721131369663,3.00269712677413
2023,10.8379893742876,10.238378847148,7.7770476772518,5.37336263600222,4.95061713568431,4.54163084761948,4.14926350278016,3.77586140388753,3.42322506436427,3.09260682974043,2.78473458071159
2024,10.854102060723,10.2362379757908,7.77005939164419,5.3357397418496,4.88003092352867,4.44103090405997,4.02223217916914,3.62640850392157,3.25558031426261,2.91102645821236,2.59333427623063
2025,10.868259839178,10.2337049464095,7.76317844959658,5.30075932851054,4.814911354826,4.34881021344942,3.90658399135006,3.49140382787198,3.1054522811819,2.74995820297732,2.42528391457511
2026,10.8805791685046,10.2307849790785,7.75638601445267,5.26825255118622,4.75488969743193,4.26435016561016,3.80138682471029,3.3695291844297,2.97106116996971,2.60708898503914,2.2776760945406
2027,10.8911705702347,10.2274828311709,7.74966305063159,5.23805319168558,4.69960704505129,4.18705564585478,3.70575532596174,3.25954993328829,2.85076529682157,2.48032003421437,2.14791829887954
2028,10.9001383797065,10.223802698905,7.74299044600075,5.20999888377627,4.64871684875426,4.11635911322765,3.61885653460866,3.16032145192604,2.74306643981013,2.36776751596,2.03372331112648
2029,10.907580592287,10.2197481330557,7.73634911578916,5.18393211480386,4.60188680576557,4.05172323503232,3.53991275112073,3.07079096568995,2.64660825454709,2.26775384517644,1.93308843587838
2030,10.9135887945324,10.2153219686247,7.72972008832248,5.15970101699129,4.55880019107901,3.99264236121435,3.46820233262873,2.98999613766389,2.56017022552563,2.1787936150174,1.8442692152141
2031,10.9182481696131,10.210526267856,7.72308457335232,5.13715996536233,4.51915671421393,3.93864308533551,3.40305898069485,2.91706149970643,2.48265896562694,2.09957685890927,1.76575132753138
2032,10.9216375662421,10.2053622756841,7.71642401412213,5.11617000147974,4.48267297809144,3.88928410209012,3.34386997153591,2.8511935391542,2.41309815028642,2.02895145047628,1.6962229260209
2033,10.9238296206233,10.1998303864887,7.70972012456668,5.09659910332168,4.44908261036083,3.84415553663377,3.29007368028061,2.79167503855995,2.35061796849316,1.96590578283422,1.63454869710256
2034,10.9248909214724,10.1939301209068,7.70295491319688,5.07832232183312,4.41813613018018,3.80287788957896,3.24115666811399,2.73785909463748,2.29444467167058,1.90955240308284,1.57974627628204
2035,10.9248822089073,10.1876601114011,7.69611069528939,5.06122180417734,4.38960060592674,3.76510071389071,3.19665053366596,2.68916311105544,2.24389058332572,1.85911296112051,1.53096525247374
2036,10.9238585988702,10.1810180952881,7.68917009499964,5.045186722662,4.36325915192879,3.73050111618963,3.15612867610534,2.64506296094079,2.19834477838313,1.8139046235636,1.48746874714637
2037,10.9218698256779,10.17400091398,7.68211603896242,5.03011312689181,4.3389103053102,3.69878215497268,3.11920307516148,2.60508744232691,2.1572645353526,1.77332797181576,1.44861741722292
